Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login - TS,Firefox 85.0,,,2021-06-22 20:18:41,2021-06-22 20:19:12,30.090s,PASSED
,,,,,,,
Test Cases/online tutorial/login HRM,Firefox 85.0,,,2021-06-22 20:18:42,2021-06-22 20:19:12,29.177s,PASSED
"openBrowser("""")",Firefox 85.0,,,2021-06-22 20:18:44,2021-06-22 20:18:56,12.869s,PASSED
maximizeWindow(),Firefox 85.0,,,2021-06-22 20:18:56,2021-06-22 20:18:57,0.644s,PASSED
"navigateToUrl(""https://mosajgohar-trials71.orangehrmlive.com/auth/login"")",Firefox 85.0,,,2021-06-22 20:18:57,2021-06-22 20:19:00,3.092s,PASSED
"click(findTestObject(""Object Repository/Orange HRM Login/Page_OrangeHRM/span_Username""))",Firefox 85.0,,,2021-06-22 20:19:00,2021-06-22 20:19:01,1.094s,PASSED
takeScreenshot(),Firefox 85.0,,,2021-06-22 20:19:01,2021-06-22 20:19:02,0.586s,PASSED
"setText(findTestObject(""Object Repository/Orange HRM Login/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), findTestData(""OrangeHRM/Login credentials"").getValue(1, 1))",Firefox 85.0,,,2021-06-22 20:19:02,2021-06-22 20:19:05,3.602s,PASSED
"setText(findTestObject(""Object Repository/Orange HRM Login/Page_OrangeHRM/input_Username_txtPassword""), findTestData(""OrangeHRM/Login credentials"").getValue(2, 1))",Firefox 85.0,,,2021-06-22 20:19:05,2021-06-22 20:19:06,0.632s,PASSED
"click(findTestObject(""Object Repository/Orange HRM Login/Page_OrangeHRM/input_Password_Submit""))",Firefox 85.0,,,2021-06-22 20:19:06,2021-06-22 20:19:12,5.500s,PASSED
