Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login - TS,Firefox 85.0,,,2021-06-19 16:59:33,2021-06-19 17:00:30,57.271s,PASSED
,,,,,,,
Test Cases/online tutorial/login HRM,Firefox 85.0,,,2021-06-19 16:59:34,2021-06-19 17:00:30,56.317s,PASSED
"openBrowser("""")",Firefox 85.0,,,2021-06-19 16:59:35,2021-06-19 16:59:46,11.437s,PASSED
maximizeWindow(),Firefox 85.0,,,2021-06-19 16:59:46,2021-06-19 16:59:47,0.346s,PASSED
"navigateToUrl(""https://mosajgohar-trials71.orangehrmlive.com/auth/login"")",Firefox 85.0,,,2021-06-19 16:59:47,2021-06-19 16:59:49,2.761s,PASSED
"click(findTestObject(""Object Repository/Orange HRM Login/Page_OrangeHRM/span_Username""))",Firefox 85.0,,,2021-06-19 16:59:49,2021-06-19 16:59:50,0.891s,PASSED
"setText(findTestObject(""Object Repository/Orange HRM Login/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), ""Admin"")",Firefox 85.0,,,2021-06-19 16:59:50,2021-06-19 16:59:51,0.549s,PASSED
"setText(findTestObject(""Object Repository/Orange HRM Login/Page_OrangeHRM/input_Username_txtPassword""), ""Up62EXrKm@"")",Firefox 85.0,,,2021-06-19 16:59:51,2021-06-19 16:59:51,0.535s,PASSED
"click(findTestObject(""Object Repository/Orange HRM Login/Page_OrangeHRM/input_Password_Submit""))",Firefox 85.0,,,2021-06-19 16:59:51,2021-06-19 16:59:57,6.052s,PASSED
"click(findTestObject(""Object Repository/Orange HRM Login/Page_Dashboard/img""))",Firefox 85.0,,,2021-06-19 16:59:57,2021-06-19 17:00:04,6.620s,PASSED
"click(findTestObject(""Object Repository/Orange HRM Login/Page_Apply Leave/span_Home""))",Firefox 85.0,,,2021-06-19 17:00:04,2021-06-19 17:00:07,2.445s,PASSED
"click(findTestObject(""Object Repository/Orange HRM Login/Page_Dashboard/i_keyboard_arrow_down""))",Firefox 85.0,,,2021-06-19 17:00:07,2021-06-19 17:00:16,9.952s,PASSED
"click(findTestObject(""Object Repository/Orange HRM Login/Page_Dashboard/i_keyboard_arrow_down""))",Firefox 85.0,,,2021-06-19 17:00:16,2021-06-19 17:00:17,0.805s,PASSED
"click(findTestObject(""Object Repository/Orange HRM Login/Page_Dashboard/a_Logout""))",Firefox 85.0,,,2021-06-19 17:00:17,2021-06-19 17:00:24,6.358s,PASSED
delay(5),Firefox 85.0,,,2021-06-19 17:00:24,2021-06-19 17:00:29,5.050s,PASSED
closeBrowser(),Firefox 85.0,,,2021-06-19 17:00:29,2021-06-19 17:00:30,1.383s,PASSED
